timestamp,engine_id,mission_id,rpm,cht,egt,oil_pressure,oil_temperature,fuel_flow,vibration,battery_voltage,alternator_current,injection_timing,throttle,altitude,ambient_temperature,ambient_pressure,engine_load
2026-09-20T08:00:00Z,AEGIS-ENG-001,MSN-SYN-NORM,5654,145.0,822.8,4.44,108.5,28.9,3.46,28.3,41.7,25.7,100,1000,20.0,976,96.0
2026-09-20T08:00:01Z,AEGIS-ENG-001,MSN-SYN-NORM,5661,143.7,823.8,4.47,108.7,28.7,3.41,28.3,40.8,25.7,100,1025,20.0,975,96.0
2026-09-20T08:00:02Z,AEGIS-ENG-001,MSN-SYN-NORM,5641,145.9,819.6,4.43,108.7,28.7,3.54,28.1,41.6,25.7,100,1050,19.9,974,96.0
2026-09-20T08:00:03Z,AEGIS-ENG-001,MSN-SYN-NORM,5639,145.2,823.8,4.41,107.5,28.6,3.40,28.2,41.4,25.7,100,1075,19.9,973,96.0
2026-09-20T08:00:04Z,AEGIS-ENG-001,MSN-SYN-NORM,5651,146.2,820.5,4.43,108.0,28.7,3.47,28.1,41.8,25.7,100,1100,19.8,973,96.0
2026-09-20T08:00:05Z,AEGIS-ENG-001,MSN-SYN-NORM,5652,145.4,820.5,4.49,108.6,28.6,3.37,28.3,41.3,25.7,100,1125,19.8,972,96.0
2026-09-20T08:00:06Z,AEGIS-ENG-001,MSN-SYN-NORM,5658,143.6,819.9,4.44,108.0,29.1,3.41,28.3,40.9,25.7,100,1150,19.7,971,96.0
2026-09-20T08:00:07Z,AEGIS-ENG-001,MSN-SYN-NORM,5658,144.4,824.3,4.46,107.7,28.9,3.51,28.3,41.7,25.7,100,1175,19.7,970,96.0
2026-09-20T08:00:08Z,AEGIS-ENG-001,MSN-SYN-NORM,5638,144.2,821.3,4.45,107.6,28.8,3.51,28.1,41.0,25.7,100,1200,19.6,969,96.0
2026-09-20T08:00:09Z,AEGIS-ENG-001,MSN-SYN-NORM,5636,145.0,824.0,4.50,108.4,28.7,3.44,28.1,41.0,25.7,100,1225,19.6,968,96.0
2026-09-20T08:00:10Z,AEGIS-ENG-001,MSN-SYN-NORM,5661,145.5,822.5,4.49,107.8,29.0,3.56,28.1,41.5,25.7,100,1250,19.5,967,96.0
2026-09-20T08:00:11Z,AEGIS-ENG-001,MSN-SYN-NORM,5640,145.0,822.1,4.41,107.6,29.0,3.56,28.2,40.8,25.7,100,1275,19.5,966,96.0
2026-09-20T08:00:12Z,AEGIS-ENG-001,MSN-SYN-NORM,5667,144.5,820.6,4.45,108.3,28.7,3.38,28.1,41.5,25.7,100,1300,19.4,965,96.0
2026-09-20T08:00:13Z,AEGIS-ENG-001,MSN-SYN-NORM,5655,145.9,821.0,4.47,107.4,28.7,3.48,28.2,41.2,25.7,100,1325,19.4,964,96.0
2026-09-20T08:00:14Z,AEGIS-ENG-001,MSN-SYN-NORM,5657,143.9,823.5,4.45,107.5,28.8,3.53,28.1,41.6,25.7,100,1350,19.3,964,96.0
2026-09-20T08:00:15Z,AEGIS-ENG-001,MSN-SYN-NORM,5649,146.0,822.6,4.40,108.3,28.5,3.39,28.1,41.5,25.7,100,1375,19.3,963,96.0
2026-09-20T08:00:16Z,AEGIS-ENG-001,MSN-SYN-NORM,5663,144.5,820.7,4.43,109.2,28.7,3.52,28.3,41.3,25.7,100,1400,19.2,962,96.0
2026-09-20T08:00:17Z,AEGIS-ENG-001,MSN-SYN-NORM,5649,143.6,824.4,4.41,107.4,29.0,3.56,28.1,41.2,25.7,100,1425,19.2,961,96.0
2026-09-20T08:00:18Z,AEGIS-ENG-001,MSN-SYN-NORM,5643,145.6,821.9,4.46,108.2,28.5,3.54,28.3,41.4,25.7,100,1450,19.1,960,96.0
2026-09-20T08:00:19Z,AEGIS-ENG-001,MSN-SYN-NORM,5635,145.1,818.7,4.40,107.9,28.9,3.46,28.1,40.9,25.7,100,1475,19.1,959,96.0
2026-09-20T08:00:20Z,AEGIS-ENG-001,MSN-SYN-NORM,5652,145.9,819.2,4.49,108.1,28.5,3.48,28.1,41.2,25.7,100,1500,19.0,958,96.0
2026-09-20T08:00:21Z,AEGIS-ENG-001,MSN-SYN-NORM,5651,146.1,821.3,4.48,107.7,28.9,3.38,28.2,40.9,25.7,100,1525,19.0,957,96.0
2026-09-20T08:00:22Z,AEGIS-ENG-001,MSN-SYN-NORM,5638,144.4,820.7,4.48,109.0,28.9,3.36,28.3,41.0,25.7,100,1550,18.9,956,96.0
2026-09-20T08:00:23Z,AEGIS-ENG-001,MSN-SYN-NORM,5641,143.6,823.0,4.44,109.1,28.9,3.43,28.2,41.2,25.7,100,1575,18.9,956,96.0
2026-09-20T08:00:24Z,AEGIS-ENG-001,MSN-SYN-NORM,5632,145.6,819.8,4.44,107.3,28.7,3.52,28.2,41.3,25.7,100,1600,18.8,955,96.0
2026-09-20T08:00:25Z,AEGIS-ENG-001,MSN-SYN-NORM,5649,145.6,821.2,4.40,107.6,29.0,3.48,28.2,41.4,25.7,100,1625,18.8,954,96.0
2026-09-20T08:00:26Z,AEGIS-ENG-001,MSN-SYN-NORM,5666,144.2,820.7,4.51,108.1,28.6,3.43,28.1,40.8,25.7,100,1650,18.7,953,96.0
2026-09-20T08:00:27Z,AEGIS-ENG-001,MSN-SYN-NORM,5639,144.8,818.7,4.48,107.9,29.0,3.56,28.2,41.7,25.7,100,1675,18.7,952,96.0
2026-09-20T08:00:28Z,AEGIS-ENG-001,MSN-SYN-NORM,5661,145.5,819.8,4.41,108.6,28.5,3.48,28.2,41.2,25.7,100,1700,18.6,951,96.0
2026-09-20T08:00:29Z,AEGIS-ENG-001,MSN-SYN-NORM,5640,143.4,822.6,4.45,107.3,28.7,3.47,28.2,41.1,25.7,100,1725,18.6,950,96.0
2026-09-20T08:00:30Z,AEGIS-ENG-001,MSN-SYN-NORM,5669,145.5,822.7,4.43,108.2,28.8,3.53,28.2,41.2,25.7,100,1750,18.5,949,96.0
2026-09-20T08:00:31Z,AEGIS-ENG-001,MSN-SYN-NORM,5664,145.7,822.5,4.46,109.0,28.8,3.45,28.2,41.6,25.7,100,1775,18.5,949,96.0
2026-09-20T08:00:32Z,AEGIS-ENG-001,MSN-SYN-NORM,5643,143.8,820.9,4.51,108.7,28.8,3.48,28.1,40.9,25.7,100,1800,18.4,948,96.0
2026-09-20T08:00:33Z,AEGIS-ENG-001,MSN-SYN-NORM,5645,143.3,819.8,4.48,109.1,28.7,3.45,28.2,41.1,25.7,100,1825,18.4,947,96.0
2026-09-20T08:00:34Z,AEGIS-ENG-001,MSN-SYN-NORM,5634,144.9,820.4,4.46,107.9,28.6,3.40,28.2,41.5,25.7,100,1850,18.3,946,96.0
2026-09-20T08:00:35Z,AEGIS-ENG-001,MSN-SYN-NORM,5652,145.2,819.1,4.44,108.5,28.9,3.55,28.2,41.7,25.7,100,1875,18.3,945,96.0
